epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13286,1.96373,3.88548,1.50532,0.00333,1,0.53564,0.29438,1.37932,3.43716,1.17401,0.09127,0.00027,0.00027
2,3.19406,1.53514,1.47902,1.28522,1,0.03333,0.51666,0.20666,1.63521,4.18561,1.34787,0.08157,0.000569985,0.000569985
3,4.24414,1.51318,1.07509,1.31855,0,0,0,0,1.64646,4.29843,1.4112,0.0718699,0.000869906,0.000869906
4,5.33771,1.57694,1.07948,1.35903,1,0.36667,0.68332,0.36039,1.53454,4.05896,1.30087,0.0621697,0.00116971,0.00116971
5,6.43394,1.54592,1.07633,1.33662,1,0.96043,0.995,0.48715,1.82909,2.09878,1.64997,0.0524694,0.00146936,0.00146936
6,7.58413,1.45706,0.92222,1.30206,0.98959,1,0.995,0.45511,1.8342,1.01675,1.59937,0.0427688,0.0017688,0.0017688
7,8.61696,1.4699,0.91553,1.34037,0.65846,0.70709,0.73303,0.22647,2.53085,1.3357,2.09473,0.033068,0.00206798,0.00206798
8,9.64931,1.47061,1.08989,1.37347,0.99366,1,0.995,0.41247,1.92498,1.94046,1.7183,0.0233668,0.00236685,0.00236685
9,10.688,1.52227,0.9517,1.34454,0.96518,0.92429,0.9403,0.34606,2.20269,2.38131,2.17762,0.0136654,0.00266536,0.00266536
10,11.7321,1.43683,0.85415,1.2456,0.96222,1,0.99403,0.51861,1.67557,1.79483,1.45449,0.00396348,0.00296348,0.00296348
11,12.7735,1.56346,0.93476,1.37491,0.96367,0.88461,0.92827,0.34,1.90791,5.96972,1.61853,0.00299187,0.00299187,0.00299187
12,13.8178,1.53124,0.88521,1.32917,0.41937,0.81873,0.64814,0.27936,1.89523,10.9779,1.50997,0.00299016,0.00299016,0.00299016
13,14.8478,1.48367,0.94069,1.34057,0.96726,0.98518,0.99081,0.53188,1.48312,8.41769,1.45314,0.00298829,0.00298829,0.00298829
14,15.9942,1.42824,0.91949,1.31461,1,0.89459,0.96673,0.55541,1.55602,2.49005,1.31848,0.00298626,0.00298626,0.00298626
15,17.051,1.39001,0.89378,1.30419,0.9676,0.99555,0.99403,0.62806,1.2846,2.56666,1.22743,0.00298407,0.00298407,0.00298407
16,18.1057,1.39512,0.85638,1.24775,0.96667,0.96677,0.99306,0.50925,1.52155,2.13487,1.37438,0.00298172,0.00298172,0.00298172
17,19.1336,1.28376,0.81632,1.22242,0.99468,1,0.995,0.44354,1.70996,1.87829,1.43549,0.0029792,0.0029792,0.0029792
18,20.1842,1.37556,0.74633,1.21897,0.89285,0.93333,0.95291,0.54614,1.40089,1.78727,1.22489,0.00297653,0.00297653,0.00297653
19,21.2152,1.36638,0.78784,1.21579,1,0.63078,0.74092,0.48333,1.46163,1.57077,1.38191,0.0029737,0.0029737,0.0029737
20,22.2687,1.3617,0.78925,1.20688,1,0.35374,0.42853,0.22379,2.12305,3.12783,1.79658,0.0029707,0.0029707,0.0029707
