epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,253.229,1.35064,0.64406,1.30329,0.95377,0.68812,0.79832,0.47181,1.63903,1.16025,1.36148,0.00285867,0.00285867,0.00285867
44,258.86,1.29997,0.63615,1.2952,0.96294,0.86615,0.92161,0.63163,1.29825,1.07857,1.21854,0.00285197,0.00285197,0.00285197
45,264.487,1.3084,0.62715,1.28463,0.99631,1,0.995,0.66034,1.40333,0.59195,1.23864,0.00284513,0.00284513,0.00284513
46,270.124,1.30286,0.64033,1.2693,0.96617,0.95239,0.98971,0.65682,1.28768,0.60116,1.19431,0.00283814,0.00283814,0.00283814
47,275.761,1.26107,0.61374,1.25605,0.99652,1,0.995,0.62946,1.34812,0.61391,1.23712,0.00283101,0.00283101,0.00283101
48,281.38,1.28424,0.59247,1.27903,0.99607,1,0.995,0.65513,1.28869,0.55583,1.20374,0.00282374,0.00282374,0.00282374
49,287.004,1.21681,0.58735,1.26525,0.88552,0.86667,0.90991,0.48683,1.76033,0.88364,1.46987,0.00281632,0.00281632,0.00281632
50,292.628,1.24037,0.60048,1.25903,0.96287,1,0.99081,0.53913,1.76936,0.68722,1.44368,0.00280875,0.00280875,0.00280875
51,298.246,1.27341,0.59753,1.27778,0.9977,1,0.995,0.68438,1.16229,0.52922,1.15963,0.00280105,0.00280105,0.00280105
52,303.898,1.27173,0.58383,1.25716,0.99763,1,0.995,0.71477,1.05159,0.4888,1.0944,0.0027932,0.0027932,0.0027932
53,309.523,1.27689,0.59074,1.25099,0.99565,1,0.995,0.72614,1.06915,0.5042,1.12316,0.00278522,0.00278522,0.00278522
54,315.16,1.24808,0.59498,1.25871,0.99703,1,0.995,0.72941,1.05041,0.50338,1.09968,0.00277709,0.00277709,0.00277709
55,320.784,1.25362,0.57476,1.2546,0.99754,1,0.995,0.74723,1.08227,0.48082,1.09896,0.00276883,0.00276883,0.00276883
56,326.419,1.19736,0.57045,1.22075,0.99764,1,0.995,0.71446,1.12523,0.48712,1.11695,0.00276043,0.00276043,0.00276043
57,332.052,1.22423,0.60334,1.25187,0.99707,1,0.995,0.74301,1.05186,0.47487,1.10689,0.00275189,0.00275189,0.00275189
58,337.69,1.26977,0.60039,1.27296,0.99773,1,0.995,0.7192,1.14541,0.48319,1.15224,0.00274321,0.00274321,0.00274321
59,343.333,1.26466,0.60864,1.26274,0.99596,1,0.995,0.71832,1.1222,0.54008,1.12736,0.00273441,0.00273441,0.00273441
60,348.969,1.23359,0.5752,1.26243,0.88074,0.49271,0.68903,0.34611,1.99207,1.79613,1.53995,0.00272546,0.00272546,0.00272546
61,354.607,1.23381,0.58937,1.2488,0.99702,1,0.995,0.67462,1.24173,0.52195,1.17727,0.00271639,0.00271639,0.00271639
62,360.243,1.21563,0.56659,1.23132,0.99729,1,0.995,0.66531,1.24103,0.51601,1.168,0.00270718,0.00270718,0.00270718
63,365.891,1.19683,0.55272,1.22645,0.9619,0.93333,0.9772,0.64905,1.24995,0.57998,1.18499,0.00269785,0.00269785,0.00269785
64,371.535,1.14189,0.55834,1.20194,0.99624,0.96667,0.96529,0.6604,1.17122,0.69916,1.15495,0.00268838,0.00268838,0.00268838
65,377.179,1.18599,0.53868,1.21223,0.99788,1,0.995,0.66664,1.32903,0.52747,1.17162,0.00267878,0.00267878,0.00267878
66,382.827,1.27082,0.56128,1.25951,0.99546,0.83333,0.92947,0.59971,1.33242,0.79921,1.22173,0.00266906,0.00266906,0.00266906
67,388.469,1.20192,0.54647,1.23164,0.99769,1,0.995,0.75719,0.96236,0.47778,1.06703,0.00265921,0.00265921,0.00265921
68,394.106,1.19941,0.55141,1.22219,0.99434,1,0.995,0.72015,1.06296,0.48892,1.08497,0.00264924,0.00264924,0.00264924
69,399.744,1.20626,0.56245,1.21128,0.9976,1,0.995,0.69871,1.23933,0.55446,1.17036,0.00263914,0.00263914,0.00263914
70,405.41,1.24443,0.57103,1.25491,0.997,1,0.995,0.68676,1.18941,0.53302,1.19143,0.00262891,0.00262891,0.00262891
71,411.057,1.18537,0.54801,1.23582,1,0.9228,0.97549,0.68042,1.16552,0.60562,1.16673,0.00261857,0.00261857,0.00261857
72,416.696,1.21084,0.5359,1.23863,0.99205,0.96667,0.99403,0.60344,1.50368,0.62228,1.29718,0.0026081,0.0026081,0.0026081
