epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,198.237,0.92935,0.62543,1.15052,0.97538,0.98126,0.99156,0.80767,0.75256,0.45878,1.07046,0.00286522,0.00286522,0.00286522
43,202.466,0.90531,0.59632,1.13076,0.97854,0.98766,0.99336,0.80088,0.78599,0.44366,1.10082,0.00285867,0.00285867,0.00285867
44,206.691,0.90172,0.57957,1.13086,0.98658,0.98542,0.99372,0.79209,0.81058,0.45009,1.11622,0.00285197,0.00285197,0.00285197
45,210.906,0.91547,0.58267,1.14639,0.96801,1,0.98671,0.80115,0.7596,0.44408,1.08635,0.00284513,0.00284513,0.00284513
46,215.115,0.92493,0.59953,1.17404,0.9717,0.99508,0.99261,0.7916,0.807,0.43288,1.10208,0.00283814,0.00283814,0.00283814
47,219.428,0.95236,0.60527,1.1712,0.97964,0.97922,0.99421,0.80511,0.76665,0.44878,1.07436,0.00283101,0.00283101,0.00283101
48,223.649,0.91975,0.59092,1.16262,0.95394,0.99259,0.98984,0.7558,0.94242,0.48225,1.17156,0.00282374,0.00282374,0.00282374
49,227.868,0.91367,0.58409,1.13981,0.98741,0.99206,0.99305,0.77216,0.85487,0.44954,1.12729,0.00281632,0.00281632,0.00281632
50,232.09,0.91765,0.60192,1.14228,0.98053,0.94143,0.98379,0.78063,0.87728,0.45672,1.1597,0.00280875,0.00280875,0.00280875
51,236.315,0.90944,0.58966,1.12847,0.95904,0.98823,0.98963,0.81031,0.75536,0.43106,1.05888,0.00280105,0.00280105,0.00280105
52,240.532,0.92369,0.59299,1.14543,0.96706,0.97637,0.99183,0.76977,0.85658,0.43166,1.12882,0.0027932,0.0027932,0.0027932
53,244.765,0.9172,0.58965,1.14688,0.97515,0.99472,0.9937,0.79901,0.75973,0.44959,1.07273,0.00278522,0.00278522,0.00278522
54,249.151,0.90557,0.579,1.12302,0.97675,0.98325,0.99321,0.80115,0.82988,0.46492,1.1253,0.00277709,0.00277709,0.00277709
55,254.086,0.91801,0.58921,1.14763,0.98986,0.99011,0.99412,0.79572,0.78336,0.42557,1.08356,0.00276883,0.00276883,0.00276883
56,259.647,0.90737,0.58989,1.12603,0.88411,0.93249,0.94755,0.73273,0.91907,0.62616,1.1716,0.00276043,0.00276043,0.00276043
57,264.949,0.898,0.57988,1.14241,0.98842,0.98997,0.995,0.80764,0.7377,0.44737,1.0557,0.00275189,0.00275189,0.00275189
58,270.468,0.89952,0.58011,1.12283,0.98259,0.99986,0.99412,0.81157,0.76198,0.41555,1.07961,0.00274321,0.00274321,0.00274321
59,274.837,0.88975,0.57391,1.12649,0.98273,1,0.99443,0.77916,0.91113,0.45735,1.1651,0.00273441,0.00273441,0.00273441
60,279.085,0.91543,0.59246,1.14467,0.97234,0.99666,0.9929,0.77964,0.87071,0.46138,1.13405,0.00272546,0.00272546,0.00272546
61,283.31,0.91451,0.57888,1.13865,0.98371,0.9959,0.99401,0.78341,0.88127,0.43707,1.14931,0.00271639,0.00271639,0.00271639
62,287.813,0.91529,0.56325,1.12048,0.81066,0.87608,0.9029,0.72819,0.82578,0.73277,1.09845,0.00270718,0.00270718,0.00270718
63,293.207,0.90002,0.57886,1.13396,0.97039,0.96999,0.99106,0.81655,0.72614,0.4463,1.04287,0.00269785,0.00269785,0.00269785
64,297.601,0.89523,0.55413,1.12311,0.98317,0.99735,0.99096,0.79954,0.80425,0.40556,1.10768,0.00268838,0.00268838,0.00268838
65,302.255,0.88874,0.56349,1.12939,0.93688,0.99054,0.98717,0.81594,0.7594,0.4138,1.08382,0.00267878,0.00267878,0.00267878
66,307.431,0.8922,0.55738,1.11209,0.98115,0.99679,0.99385,0.81078,0.74803,0.39216,1.05345,0.00266906,0.00266906,0.00266906
67,312.826,0.89646,0.57391,1.13604,0.93395,0.99437,0.98775,0.7874,0.80245,0.42013,1.09883,0.00265921,0.00265921,0.00265921
