epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4747,1.6186,4.09128,1.24296,0.00333,1,0.00769,0.00484,1.19954,3.79625,1.03205,0.09612,0.00012,0.00012
2,2.69062,1.44162,2.96059,1.07322,0.00333,1,0.70727,0.39965,1.19743,3.25106,1.02585,0.09127,0.000269993,0.000269993
3,4.01352,1.39076,1.45282,1.11154,0.00491,0.93333,0.86396,0.44946,1.29267,3.56561,1.03024,0.08642,0.000419954,0.000419954
4,5.22209,1.31571,1.03183,1.15421,1,0.03333,0.51666,0.36166,1.13234,4.13756,1.03829,0.0815699,0.000569861,0.000569861
5,6.42224,1.25893,0.83906,1.16046,0,0,0,0,1.13919,4.69224,1.07784,0.0767197,0.000719687,0.000719687
6,7.62898,1.29661,0.80822,1.12638,0,0,0,0,1.37839,5.62367,1.45507,0.0718694,0.00086941,0.00086941
7,8.83237,1.28641,0.8221,1.14919,0,0,0,0,1.10143,5.15099,1.12079,0.067019,0.001019,0.001019
8,10.0527,1.39079,0.91372,1.19716,0.66667,1,0.93159,0.66249,1.07763,3.17329,1.06606,0.0621684,0.00116844,0.00116844
9,11.2809,1.39179,0.85364,1.18755,0.4918,1,0.99403,0.69301,1.1768,2.72808,1.13311,0.0573177,0.00131771,0.00131771
10,12.5068,1.29393,0.8377,1.19032,0.96434,0.90152,0.97484,0.65153,1.23886,2.0991,1.13922,0.0524668,0.00146677,0.00146677
11,13.7026,1.27869,0.80679,1.17519,1,0.75037,0.99147,0.65137,1.26773,1.91522,1.10725,0.0476156,0.00161561,0.00161561
12,14.9063,1.28717,0.77885,1.13193,1,0.93683,0.995,0.6922,1.19177,1.4028,1.08711,0.0427642,0.00176419,0.00176419
13,16.1183,1.25875,0.77265,1.13723,0.99932,1,0.995,0.66051,1.22541,1.07369,1.12491,0.0379125,0.00191251,0.00191251
14,17.3413,1.29676,0.75384,1.13822,0.99041,0.96667,0.98932,0.69202,1.08871,1.0509,1.06536,0.0330605,0.00206052,0.00206052
15,18.5366,1.32821,0.71234,1.19531,0.97161,1,0.995,0.73852,1.0199,0.83069,1.01292,0.0282082,0.00220821,0.00220821
16,19.7513,1.19719,0.70082,1.10582,0.96075,1,0.99403,0.64894,1.1627,0.83097,1.09059,0.0233556,0.00235556,0.00235556
17,20.9488,1.27574,0.73944,1.13476,0.93418,0.9,0.98193,0.65116,1.20689,1.26107,1.155,0.0185025,0.00250253,0.00250253
18,22.1544,1.20037,0.68528,1.0922,0.96071,0.96667,0.97814,0.64454,1.25432,1.04679,1.13139,0.0136491,0.00264911,0.00264911
19,23.3465,1.28189,0.70443,1.11135,0.7779,0.96667,0.93759,0.55704,1.31881,0.97242,1.153,0.00879527,0.00279527,0.00279527
20,24.5525,1.32383,0.72275,1.18755,0.84703,0.92308,0.95623,0.47134,1.54648,1.38821,1.29118,0.003941,0.002941,0.002941
21,25.7507,1.34986,0.73151,1.1593,0.93648,0.98318,0.99079,0.65092,1.28937,0.78498,1.1611,0.00296755,0.00296755,0.00296755
22,26.9586,1.26557,0.73585,1.14139,0.96274,1,0.995,0.66308,1.14619,1.21115,1.08364,0.00296424,0.00296424,0.00296424
23,28.1569,1.27584,0.72267,1.17252,1,0.98629,0.995,0.6247,1.27429,1.1845,1.16091,0.00296076,0.00296076,0.00296076
24,29.3663,1.22643,0.67795,1.13215,0.96396,0.89169,0.93015,0.59946,1.24433,2.5863,1.15172,0.00295713,0.00295713,0.00295713
