epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.6608,1.54201,4.0414,1.24096,0.00333,1,0.95463,0.38147,1.00719,3.18761,0.9378,0.09127,0.00027,0.00027
2,2.79243,1.46332,1.5247,1.20494,0.01337,0.93333,0.56109,0.35447,1.16442,3.56938,1.07239,0.08157,0.000569985,0.000569985
3,3.88935,1.48464,1.1517,1.2653,0,0,0,0,1.40157,4.30802,1.29771,0.0718699,0.000869906,0.000869906
4,4.98585,1.41712,1.01978,1.22498,0.96667,0.96667,0.9824,0.64571,1.34838,3.41604,1.20829,0.0621697,0.00116971,0.00116971
5,6.07153,1.38374,0.90433,1.20897,0.33333,1,0.95548,0.61441,1.38725,2.28966,1.2516,0.0524694,0.00146936,0.00146936
6,7.13539,1.29139,0.91183,1.20443,0.94185,0.73333,0.94077,0.62957,1.2684,1.77031,1.11863,0.0427688,0.0017688,0.0017688
7,8.30541,1.35249,0.84227,1.19288,0.96509,0.9218,0.98124,0.59192,1.34727,1.16472,1.14219,0.033068,0.00206798,0.00206798
8,9.37794,1.39357,0.95039,1.24252,0.9975,1,0.995,0.63872,1.23576,0.84122,1.17171,0.0233668,0.00236685,0.00236685
9,10.4358,1.48541,0.91721,1.26086,0.93488,1,0.99177,0.59754,1.44002,1.63537,1.25083,0.0136654,0.00266536,0.00266536
10,11.4969,1.43213,0.89138,1.19822,0.96202,1,0.995,0.63759,1.22622,2.05403,1.20205,0.00396348,0.00296348,0.00296348
11,12.5407,1.45673,0.84822,1.24067,0.98677,1,0.995,0.64185,1.19566,1.33101,1.16337,0.00299187,0.00299187,0.00299187
12,13.6022,1.37221,0.78607,1.147,0.992,1,0.995,0.60263,1.34173,1.143,1.18682,0.00299016,0.00299016,0.00299016
13,14.6496,1.34246,0.76379,1.17302,0.99184,1,0.995,0.66147,1.12053,0.78422,1.09101,0.00298829,0.00298829,0.00298829
14,16.0748,1.41405,0.84247,1.29577,0.99185,1,0.995,0.6331,1.16365,0.72679,1.08675,0.00298626,0.00298626,0.00298626
15,17.1639,1.32069,0.78491,1.17748,0.96419,1,0.99403,0.57644,1.38227,1.11038,1.17317,0.00298407,0.00298407,0.00298407
16,18.4284,1.34913,0.80533,1.20038,1,0.85887,0.96167,0.64314,1.22902,0.87568,1.10735,0.00298172,0.00298172,0.00298172
17,19.7035,1.26398,0.66901,1.12677,0.99328,1,0.995,0.70906,1.04489,0.7476,1.03218,0.0029792,0.0029792,0.0029792
18,20.7842,1.34706,0.71008,1.16152,0.9957,1,0.995,0.65247,1.14307,0.78347,1.10816,0.00297653,0.00297653,0.00297653
19,21.8217,1.26133,0.71233,1.11313,0.99479,1,0.995,0.68275,1.1492,0.69579,1.09096,0.0029737,0.0029737,0.0029737
20,22.8786,1.27998,0.70295,1.17404,0.99418,1,0.995,0.69158,1.07879,0.81653,1.05893,0.0029707,0.0029707,0.0029707
21,23.9265,1.24055,0.70981,1.13493,0.96758,0.99493,0.99306,0.6957,1.0841,0.91048,1.04954,0.00296755,0.00296755,0.00296755
22,24.9835,1.23429,0.72761,1.14895,0.99249,1,0.995,0.70576,1.03045,0.68455,1.00768,0.00296424,0.00296424,0.00296424
23,26.1524,1.28369,0.68849,1.12593,0.96401,0.89293,0.94837,0.63146,1.22818,0.78852,1.10212,0.00296076,0.00296076,0.00296076
24,27.4652,1.30027,0.70144,1.17522,0.96261,0.85849,0.96191,0.69064,1.05064,1.00723,1.01683,0.00295713,0.00295713,0.00295713
25,28.6728,1.2575,0.68909,1.14006,0.96714,0.98135,0.99403,0.68104,1.11287,0.77337,1.03668,0.00295335,0.00295335,0.00295335
26,29.7817,1.27217,0.66284,1.12154,0.98865,1,0.995,0.72268,0.99305,0.60302,1.00138,0.0029494,0.0029494,0.0029494
27,30.8961,1.2835,0.68572,1.13711,1,0.81718,0.94499,0.58146,1.41932,0.87369,1.19119,0.0029453,0.0029453,0.0029453
28,32.0037,1.21243,0.67604,1.11618,0.98567,0.96667,0.98593,0.64503,1.20847,0.73028,1.10893,0.00294104,0.00294104,0.00294104
29,33.1237,1.21152,0.65456,1.1133,0.92019,1,0.99125,0.70968,1.08663,0.70058,1.03348,0.00293662,0.00293662,0.00293662
30,34.2308,1.22297,0.63943,1.09881,0.97796,1,0.995,0.70823,1.17171,0.61403,1.07298,0.00293205,0.00293205,0.00293205
31,35.3106,1.35955,0.69099,1.22619,0.99753,1,0.995,0.73091,1.06542,0.61226,1.03336,0.00292732,0.00292732,0.00292732
32,36.4161,1.33249,0.68596,1.19568,0.99072,1,0.995,0.72765,0.99174,0.61934,1.01439,0.00292244,0.00292244,0.00292244
33,37.487,1.20947,0.6692,1.12633,0.96017,1,0.98984,0.71819,1.02287,0.70331,1.03357,0.0029174,0.0029174,0.0029174
34,38.6079,1.28637,0.67946,1.15758,0.99609,1,0.995,0.7194,1.10115,0.54884,1.04143,0.00291221,0.00291221,0.00291221
35,39.8263,1.2084,0.65703,1.12838,0.96393,0.96667,0.99127,0.71474,1.08849,0.6272,1.06205,0.00290686,0.00290686,0.00290686
36,40.9098,1.09169,0.61843,1.0957,0.93112,0.96667,0.98776,0.65549,1.27055,0.66413,1.09885,0.00290137,0.00290137,0.00290137
37,42.0236,1.1622,0.64518,1.11303,0.99728,1,0.995,0.71047,1.13241,0.59662,1.05725,0.00289572,0.00289572,0.00289572
38,43.2846,1.27301,0.66309,1.20984,0.99783,1,0.995,0.70635,1.09786,0.5549,1.05139,0.00288992,0.00288992,0.00288992
39,44.5158,1.25737,0.61696,1.14446,0.9978,1,0.995,0.61733,1.38954,0.6373,1.14581,0.00288397,0.00288397,0.00288397
40,45.6708,1.21656,0.62402,1.13083,0.99761,1,0.995,0.71867,1.07065,0.54846,1.04633,0.00287787,0.00287787,0.00287787
41,46.7475,1.14951,0.62596,1.13913,0.96568,1,0.99403,0.73317,1.0314,0.5803,1.06124,0.00287162,0.00287162,0.00287162
42,47.8683,1.21251,0.61453,1.14558,0.96536,1,0.99306,0.68824,1.22022,0.59085,1.07603,0.00286522,0.00286522,0.00286522
43,48.9424,1.24396,0.5965,1.09923,0.99542,1,0.995,0.68962,1.20434,0.60234,1.07354,0.00285867,0.00285867,0.00285867
44,50.1001,1.20297,0.61941,1.14627,0.99292,1,0.995,0.74686,1.03706,0.5693,1.02853,0.00285197,0.00285197,0.00285197
45,51.1642,1.16201,0.60578,1.10801,0.99743,1,0.995,0.75821,1.02054,0.52657,1.01581,0.00284513,0.00284513,0.00284513
46,52.2802,1.10081,0.62231,1.07706,0.9972,1,0.995,0.74541,1.07072,0.57363,1.03611,0.00283814,0.00283814,0.00283814
47,53.3238,1.19545,0.62505,1.12334,0.99733,1,0.995,0.74338,1.0084,0.54042,1.02309,0.00283101,0.00283101,0.00283101
48,54.3889,1.17389,0.62021,1.11221,0.99719,1,0.995,0.74147,1.03599,0.53705,1.03158,0.00282374,0.00282374,0.00282374
49,55.4465,1.2231,0.61558,1.15705,0.9978,1,0.995,0.74985,1.00009,0.51334,1.01514,0.00281632,0.00281632,0.00281632
50,56.5297,1.26711,0.63932,1.12963,0.99796,1,0.995,0.75776,0.9716,0.51434,0.99531,0.00280875,0.00280875,0.00280875
51,57.6044,1.19799,0.62359,1.12569,0.99647,1,0.995,0.76362,0.98216,0.52562,1.00801,0.00280105,0.00280105,0.00280105
52,58.8184,1.16412,0.59947,1.0933,0.99728,1,0.995,0.73683,1.03179,0.49428,1.01333,0.0027932,0.0027932,0.0027932
53,60.001,1.23017,0.61358,1.1186,0.99771,1,0.995,0.75433,0.98705,0.50515,1.00401,0.00278522,0.00278522,0.00278522
54,61.1663,1.18063,0.63447,1.09051,1,0.98846,0.995,0.70553,1.05456,1.41316,1.05173,0.00277709,0.00277709,0.00277709
55,62.2692,1.2245,0.6033,1.12813,0.98921,1,0.995,0.70984,1.06367,0.84311,1.04438,0.00276883,0.00276883,0.00276883
56,63.3585,1.14025,0.56612,1.06838,0.99745,1,0.995,0.69068,1.13558,0.52424,1.06683,0.00276043,0.00276043,0.00276043
57,64.4383,1.18981,0.59087,1.11863,0.99791,1,0.995,0.71615,1.08624,0.49322,1.03428,0.00275189,0.00275189,0.00275189
58,65.5139,1.26369,0.61064,1.13764,0.99739,1,0.995,0.71298,1.08945,0.52796,1.03591,0.00274321,0.00274321,0.00274321
59,66.5647,1.16386,0.61406,1.11462,0.99823,1,0.995,0.71309,1.10262,0.54538,1.05934,0.00273441,0.00273441,0.00273441
60,67.627,1.07432,0.60127,1.09926,0.99794,1,0.995,0.65444,1.31142,0.5262,1.12411,0.00272546,0.00272546,0.00272546
61,68.6791,1.21683,0.59246,1.1146,0.99775,1,0.995,0.70363,1.1408,0.50244,1.07317,0.00271639,0.00271639,0.00271639
62,69.8361,1.14458,0.591,1.10899,0.9976,1,0.995,0.68266,1.13364,0.5162,1.08664,0.00270718,0.00270718,0.00270718
63,70.8846,1.16515,0.56441,1.08345,0.99486,1,0.995,0.70012,1.10385,0.51752,1.06342,0.00269785,0.00269785,0.00269785
64,71.9387,1.19476,0.59439,1.13642,0.99536,1,0.995,0.72191,1.05028,0.53448,1.04685,0.00268838,0.00268838,0.00268838
65,73.0004,1.17453,0.58256,1.15055,0.99664,1,0.995,0.71333,1.1006,0.51394,1.06641,0.00267878,0.00267878,0.00267878
66,74.0909,1.14933,0.58562,1.11473,0.99759,1,0.995,0.69259,1.20371,0.52686,1.10744,0.00266906,0.00266906,0.00266906
67,75.1615,1.11096,0.58814,1.10492,0.99775,1,0.995,0.72602,1.09743,0.49336,1.07348,0.00265921,0.00265921,0.00265921
68,76.238,1.1331,0.55416,1.09975,0.99759,1,0.995,0.70249,1.13059,0.53092,1.06797,0.00264924,0.00264924,0.00264924
69,77.2958,1.13999,0.56198,1.10453,0.99704,1,0.995,0.66736,1.26555,0.54559,1.13271,0.00263914,0.00263914,0.00263914
70,78.3771,1.17045,0.55578,1.13667,0.99762,1,0.995,0.65468,1.17131,0.53035,1.07386,0.00262891,0.00262891,0.00262891
71,79.423,1.15539,0.57879,1.10307,0.99775,1,0.995,0.73306,1.06989,0.51716,1.02616,0.00261857,0.00261857,0.00261857
72,80.5833,1.13506,0.57298,1.10693,0.9972,1,0.995,0.72139,1.0831,0.52536,1.05409,0.0026081,0.0026081,0.0026081
73,81.64,1.08997,0.5496,1.07903,0.99762,1,0.995,0.66284,1.21415,0.53145,1.09889,0.00259752,0.00259752,0.00259752
74,82.7299,1.15934,0.53673,1.10754,0.99781,1,0.995,0.71021,1.09433,0.53719,1.04434,0.00258681,0.00258681,0.00258681
75,83.7841,1.24859,0.58538,1.16214,0.99646,1,0.995,0.70535,1.09271,0.5351,1.04128,0.00257599,0.00257599,0.00257599
76,84.9077,1.15079,0.59386,1.11828,0.99726,1,0.995,0.69904,1.10123,0.5088,1.04128,0.00256505,0.00256505,0.00256505
77,86.1313,1.15623,0.56705,1.11178,0.99431,1,0.995,0.72171,1.02024,0.46889,1.02196,0.002554,0.002554,0.002554
78,87.2123,1.1364,0.59888,1.12299,0.99789,1,0.995,0.75413,0.97464,0.46611,1.00664,0.00254283,0.00254283,0.00254283
79,88.3064,1.10636,0.54112,1.06957,0.98981,1,0.995,0.75534,0.96672,0.49436,1.01151,0.00253155,0.00253155,0.00253155
80,89.7966,1.14959,0.56492,1.1087,0.99193,1,0.995,0.72251,1.03636,0.51587,1.03163,0.00252016,0.00252016,0.00252016
81,91.0372,1.15256,0.57457,1.11934,0.99447,1,0.995,0.68598,1.18984,0.50815,1.09163,0.00250866,0.00250866,0.00250866
