epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.83039,1.84085,5.35342,1.54438,0.38686,0.63333,0.56972,0.39274,1.20937,1.84988,1.10668,0.08739,0.00039,0.00039
2,15.1942,1.56444,1.15031,1.41318,1,0.9314,0.99147,0.56446,1.5197,1.79597,1.43252,0.07381,0.000809978,0.000809978
3,22.4877,1.57891,0.97926,1.43612,0.77629,0.76667,0.78268,0.38471,1.83076,4.99872,2.67693,0.0602299,0.00122987,0.00122987
4,29.8314,1.52725,0.91412,1.39564,0.53309,0.56667,0.55728,0.30835,1.73145,4.41089,1.61661,0.0466496,0.0016496,0.0016496
