epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.3254,1.24113,0.62075,1.14363,0.23077,0.4,0.27962,0.08244,2.65903,3.9202,2.02051,0.00286522,0.00286522,0.00286522
43,91.4119,1.23509,0.60625,1.10854,0.60764,0.36667,0.4935,0.18594,2.24095,3.02169,1.73708,0.00285867,0.00285867,0.00285867
44,93.5239,1.19595,0.61713,1.12417,0.71735,0.6,0.6899,0.3943,1.67552,1.91667,1.41211,0.00285197,0.00285197,0.00285197
45,95.6266,1.21832,0.61392,1.10239,0.83066,0.7,0.81349,0.47768,1.54962,1.28988,1.35937,0.00284513,0.00284513,0.00284513
46,97.7427,1.10276,0.59105,1.07655,0.77872,0.76667,0.83964,0.51113,1.53534,1.15887,1.37968,0.00283814,0.00283814,0.00283814
47,99.83,1.21119,0.6045,1.09719,0.96746,0.99127,0.99403,0.71477,1.15452,0.59523,1.09915,0.00283101,0.00283101,0.00283101
48,101.937,1.21823,0.60938,1.1112,0.99699,1,0.995,0.71353,1.13242,0.64432,1.08284,0.00282374,0.00282374,0.00282374
49,104.035,1.22516,0.60964,1.16257,0.98945,0.96667,0.97523,0.65625,1.21538,0.91989,1.09034,0.00281632,0.00281632,0.00281632
50,106.344,1.27439,0.62419,1.13376,0.87583,0.96667,0.95148,0.61871,1.20252,0.6845,1.088,0.00280875,0.00280875,0.00280875
51,108.758,1.21756,0.6229,1.13719,0.93565,1,0.98987,0.70281,1.09454,0.58564,1.04461,0.00280105,0.00280105,0.00280105
52,111.377,1.20081,0.61586,1.12079,0.90845,0.99248,0.98488,0.69518,1.12025,0.61667,1.05801,0.0027932,0.0027932,0.0027932
53,113.853,1.26657,0.62611,1.15653,0.99626,1,0.995,0.70676,1.06735,0.532,1.03142,0.00278522,0.00278522,0.00278522
54,116.106,1.15662,0.61331,1.08597,1,0.99974,0.995,0.66057,1.14735,0.53093,1.08026,0.00277709,0.00277709,0.00277709
55,118.201,1.23114,0.61903,1.15755,0.99103,0.9,0.9666,0.65453,1.19282,0.68879,1.10431,0.00276883,0.00276883,0.00276883
56,120.311,1.16077,0.57727,1.0945,0.98526,0.96667,0.99227,0.65312,1.27319,0.61185,1.1527,0.00276043,0.00276043,0.00276043
