epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,263.948,1.3445,0.64107,1.23299,0.99757,1,0.995,0.66567,1.36624,0.52803,1.15217,0.00285197,0.00285197,0.00285197
45,271.157,1.3317,0.64021,1.23063,0.99588,1,0.995,0.64884,1.29955,0.55683,1.1231,0.00284513,0.00284513,0.00284513
46,278.251,1.31567,0.65391,1.20888,0.99536,1,0.995,0.68078,1.20272,0.56688,1.10117,0.00283814,0.00283814,0.00283814
47,285.153,1.31647,0.62577,1.21101,0.98129,1,0.995,0.5627,1.64521,0.63067,1.28291,0.00283101,0.00283101,0.00283101
48,292.177,1.30201,0.63694,1.18809,0.99575,1,0.995,0.62764,1.46143,0.61652,1.2142,0.00282374,0.00282374,0.00282374
49,299.473,1.33317,0.6437,1.22852,0.99716,1,0.995,0.54283,1.63207,0.59614,1.25817,0.00281632,0.00281632,0.00281632
50,306.616,1.32366,0.63891,1.20696,0.99721,1,0.995,0.64133,1.50471,0.59366,1.23623,0.00280875,0.00280875,0.00280875
51,313.542,1.32298,0.63709,1.20132,0.99485,1,0.995,0.68197,1.17254,0.55228,1.07584,0.00280105,0.00280105,0.00280105
52,320.726,1.2802,0.61612,1.17774,0.99738,1,0.995,0.72544,1.10603,0.51878,1.06021,0.0027932,0.0027932,0.0027932
53,328.106,1.26296,0.59809,1.17132,0.9977,1,0.995,0.64842,1.26341,0.54867,1.11055,0.00278522,0.00278522,0.00278522
54,335.226,1.26995,0.61008,1.17754,0.99436,1,0.995,0.71077,1.17978,0.5159,1.07262,0.00277709,0.00277709,0.00277709
55,342.282,1.27395,0.63385,1.20675,0.9966,1,0.995,0.58673,1.60143,0.62668,1.28472,0.00276883,0.00276883,0.00276883
56,349.501,1.28399,0.62474,1.19401,0.93505,0.95987,0.96099,0.52135,1.73819,0.67751,1.32393,0.00276043,0.00276043,0.00276043
57,356.683,1.30717,0.63149,1.20752,0.99568,1,0.995,0.66749,1.2988,0.56984,1.12948,0.00275189,0.00275189,0.00275189
58,363.591,1.26304,0.61105,1.18134,0.99662,1,0.995,0.68601,1.26464,0.5436,1.11607,0.00274321,0.00274321,0.00274321
59,370.517,1.28116,0.60404,1.19709,0.99735,1,0.995,0.63683,1.26564,0.55739,1.09562,0.00273441,0.00273441,0.00273441
60,377.554,1.24325,0.59375,1.19432,0.92424,0.9,0.93339,0.41995,2.00967,0.80974,1.42992,0.00272546,0.00272546,0.00272546
61,384.942,1.2227,0.58405,1.16494,0.99744,1,0.995,0.71196,1.17085,0.50061,1.06703,0.00271639,0.00271639,0.00271639
62,392.101,1.25408,0.58864,1.17551,0.99756,1,0.995,0.71753,1.11595,0.50605,1.04427,0.00270718,0.00270718,0.00270718
63,399.259,1.25251,0.57925,1.17729,0.99718,1,0.995,0.68045,1.21235,0.49748,1.10189,0.00269785,0.00269785,0.00269785
64,406.459,1.24382,0.58796,1.18176,0.96446,0.96667,0.97673,0.60592,1.47089,0.53495,1.23395,0.00268838,0.00268838,0.00268838
65,413.583,1.24169,0.59043,1.19178,1,1,0.995,0.59173,1.55803,0.5732,1.26871,0.00267878,0.00267878,0.00267878
66,420.777,1.29555,0.60376,1.21121,0.99767,1,0.995,0.62411,1.52368,0.53327,1.22386,0.00266906,0.00266906,0.00266906
67,427.95,1.29169,0.597,1.20786,0.99638,1,0.995,0.7187,1.13012,0.49878,1.08304,0.00265921,0.00265921,0.00265921
68,435.064,1.25568,0.57466,1.17955,0.99762,1,0.995,0.66185,1.34284,0.53607,1.16665,0.00264924,0.00264924,0.00264924
69,442.244,1.26706,0.58293,1.19798,0.99779,1,0.995,0.65347,1.37782,0.50978,1.18704,0.00263914,0.00263914,0.00263914
70,449.411,1.26601,0.58589,1.17326,0.99674,1,0.995,0.65235,1.29833,0.5094,1.16297,0.00262891,0.00262891,0.00262891
71,456.509,1.23656,0.59369,1.17119,0.99644,1,0.995,0.61697,1.3513,0.52743,1.1471,0.00261857,0.00261857,0.00261857
72,463.648,1.25534,0.57162,1.19641,0.99464,1,0.995,0.55312,1.59905,0.56535,1.2621,0.0026081,0.0026081,0.0026081
73,470.778,1.23866,0.57023,1.18563,0.99688,1,0.995,0.67303,1.27472,0.53557,1.14274,0.00259752,0.00259752,0.00259752
74,477.905,1.19901,0.5821,1.17099,0.99372,1,0.995,0.73792,0.99588,0.4861,1.0387,0.00258681,0.00258681,0.00258681
75,485.123,1.24733,0.55753,1.19231,0.99763,1,0.995,0.65456,1.17167,0.49725,1.08782,0.00257599,0.00257599,0.00257599
76,492.279,1.25063,0.58904,1.19419,0.99734,1,0.995,0.70012,1.17754,0.49248,1.08212,0.00256505,0.00256505,0.00256505
77,499.405,1.2327,0.58088,1.16846,0.99762,1,0.995,0.75261,1.13694,0.4874,1.07645,0.002554,0.002554,0.002554
